"","nct_number","recruitment","interventions","gender","study_type","city","state_name","phase","cleaned_age","state_code","location","lat","lng"
"212625","NCT00762411","Completed","Drug","All","Interventional","Hallandale Beach","Florida","Phase 3","Adult, Senior","FL","Hallandale Beach , FL","25.9812024","-80.148379"
"212684","NCT01254448","Completed","Drug","All","Interventional","Austin","Texas","Phase 1","Adult, Senior","TX","Austin , TX","30.267153","-97.7430608"
"212735","NCT00912288","Terminated","Drug","All","Interventional","Brooksville","Florida","Phase 3","Adult, Senior","FL","Brooksville , FL","28.5552719","-82.3878709"
"212779","NCT00937352","Terminated","Drug","All","Interventional","Berkeley","California","Phase 3","Adult, Senior","CA","Berkeley , CA","37.8715926","-122.272747"
"212787","NCT00555204","Terminated","Drug","All","Interventional","Brooksville","Florida","Phase 2","Adult, Senior","FL","Brooksville , FL","28.5552719","-82.3878709"
"212831","NCT00663936","Completed","Drug","All","Interventional","Norwalk","Connecticut","Phase 2","Adult, Senior","CT","Norwalk , CT","41.117744","-73.4081575"
"212864","NCT02079909","Completed","Drug","All","Interventional","Norwalk","Connecticut","Phase 2","Adult, Senior","CT","Norwalk , CT","41.117744","-73.4081575"
"212897","NCT02565511","Recruiting","Biological","All","Interventional","Orlando","Florida","Phase 2","Adult, Senior","FL","Orlando , FL","28.5383355","-81.3792365"
"213026","NCT00040378","Unknown status","Drug","Male","Interventional","Northridge","California","Phase 3","Adult, Senior","CA","Northridge , CA","34.2381251","-118.530123"
"213036","NCT01767311","Active, not recruiting","Drug","All","Interventional","Oxnard","California","Phase 2","Adult, Senior","CA","Oxnard , CA","34.1975048","-119.1770516"
"213057","NCT00000178","Completed","Drug","All","Interventional","Baltimore","Maryland","Phase 3","Child, Adult, Senior","MD","Baltimore , MD","39.2903848","-76.6121893"
"213159","NCT00053599","Completed","Drug","All","Interventional","Sacramento","California","Phase 3","Adult, Senior","CA","Sacramento , CA","38.5815719","-121.4943996"
"213196","NCT00675623","Completed","Drug","All","Interventional","Hialeah","Florida","Phase 3","Adult, Senior","FL","Hialeah , FL","25.8575963","-80.2781057"
"213285","NCT00710684","Completed","Drug","All","Interventional","Winston-salem","North Carolina","Phase 2","Adult, Senior","NC","Winston-salem , NC","36.0998596","-80.244216"
"213286","NCT02586909","Enrolling by invitation","Drug","All","Interventional","Atlantis","Florida","Phase 3","Adult, Senior","FL","Atlantis , FL","26.5909025","-80.1008762"
"213322","NCT00722046","Completed","Biological","All","Interventional","Eatontown","New Jersey","Phase 2","Adult, Senior","NJ","Eatontown , NJ","40.2962222","-74.0509725"
"213379","NCT02615002","Recruiting","Drug","All","Interventional","San bernardino","California","Phase 2","Adult, Senior","CA","San bernardino , CA","34.1083449","-117.2897652"
"213380","NCT00277810","Completed","Drug","All","Interventional","Ft. Myers","Florida","Phase 2","Adult, Senior","FL","Ft. Myers , FL","26.640628","-81.8723084"
"213387","NCT00015548","Completed","Drug","All","Interventional","Hialeah","Florida","Not available","Child, Adult, Senior","FL","Hialeah , FL","25.8575963","-80.2781057"
"213476","NCT00093951","Completed","Drug","All","Interventional","San Diego","California","Phase 2","Adult, Senior","CA","San Diego , CA","32.715738","-117.1610838"
"213610","NCT02916056","Enrolling by invitation","Drug","All","Interventional","Atlantis","Florida","Phase 3","Adult, Senior","FL","Atlantis , FL","26.5909025","-80.1008762"
"213646","NCT01504854","Completed","Drug","All","Interventional","Tampa","Florida","Phase 2","Adult, Senior","FL","Tampa , FL","27.950575","-82.4571776"
"213827","NCT00842673","Completed","Drug","All","Interventional","Indianapolis","Indiana","Phase 2","Adult, Senior","IN","Indianapolis , IN","39.768403","-86.158068"
"213945","NCT02080364","Active, not recruiting","Drug","All","Interventional","Glendale","California","Phase 3","Adult, Senior","CA","Glendale , CA","34.1425078","-118.255075"
"213993","NCT00838110","Completed","Drug","All","Interventional","Bradenton","Florida","Phase 3","Adult, Senior","FL","Bradenton , FL","27.4989278","-82.5748194"
"214022","NCT00842816","Completed","Drug","All","Interventional","Delray Beach","Florida","Phase 2","Adult, Senior","FL","Delray Beach , FL","26.4614625","-80.0728201"
"214116","NCT00097916","Completed","Drug","All","Interventional","Norfolk","Virginia","Phase 3","Adult, Senior","VA","Norfolk , VA","36.8507689","-76.2858726"
"214132","NCT00930059","Completed","Drug","All","Interventional","Orlando","Florida","Phase 2","Adult, Senior","FL","Orlando , FL","28.5383355","-81.3792365"
"214261","NCT02585934","Completed","Drug","All","Interventional","Simi Valley","California","Phase 3","Adult, Senior","CA","Simi Valley , CA","34.2694474","-118.781482"
"214266","NCT00265148","Completed","Drug","All","Interventional","Durham","North Carolina","Phase 2","Adult, Senior","NC","Durham , NC","35.9940329","-78.898619"
"214332","NCT01689233","Completed","Drug","All","Interventional","Pasadena","California","Phase 3","Child, Adult, Senior","CA","Pasadena , CA","34.1477849","-118.1445155"
"214347","NCT02956486","Recruiting","Drug","All","Interventional","Denver","Colorado","Phase 3","Adult, Senior","CO","Denver , CO","39.7392358","-104.990251"
"214401","NCT03036280","Recruiting","Drug","All","Interventional","Riverside","California","Phase 3","Adult, Senior","CA","Riverside , CA","33.9533487","-117.3961564"
"214411","NCT01689246","Completed","Drug","All","Interventional","Delray Beach","Florida","Phase 3","Child, Adult, Senior","FL","Delray Beach , FL","26.4614625","-80.0728201"
"214505","NCT00106899","Completed","Procedure","All","Observational","Sacramento","California","Not available","Adult, Senior","CA","Sacramento , CA","38.5815719","-121.4943996"
"214542","NCT00230568","Completed","Drug","All","Interventional","Hialeah","Florida","Phase 4","Adult, Senior","FL","Hialeah , FL","25.8575963","-80.2781057"
"214631","NCT00235716","Completed","Drug","All","Interventional","Cleveland","Ohio","Phase 3","Adult, Senior","OH","Cleveland , OH","41.49932","-81.6943605"
"214687","NCT01284387","Completed","Biological","All","Interventional","Miami","Florida","Phase 2","Adult, Senior","FL","Miami , FL","25.7616798","-80.1917902"
"214914","NCT00348309","Completed","Drug","All","Interventional","Sherman Oaks","California","Not available","Adult, Senior","CA","Sherman Oaks , CA","34.1489719","-118.451357"
"214940","NCT02880956","Recruiting","Drug","All","Interventional","Boca Raton","Florida","Phase 2","Adult, Senior","FL","Boca Raton , FL","26.3683064","-80.1289321"
"214987","NCT02547818","Recruiting","Drug","All","Interventional","Sacramento","California","Phase 3","Adult, Senior","CA","Sacramento , CA","38.5815719","-121.4943996"
"215024","NCT00876863","Active, not recruiting","Genetic","All","Interventional","North Charleston","South Carolina","Phase 2","Adult, Senior","SC","North Charleston , SC","32.8546197","-79.9748103"
"215061","NCT00384423","Completed","Drug","All","Interventional","St Petersburg","Florida","Phase 2","Adult, Senior","FL","St Petersburg , FL","27.7518284","-82.6267345"
"215071","NCT02245737","Active, not recruiting","Drug","All","Interventional","San Diego","California","Phase 2","Adult, Senior","CA","San Diego , CA","32.715738","-117.1610838"
"215205","NCT02580305","Recruiting","Drug","All","Interventional","Long Beach","California","Phase 2","Adult, Senior","CA","Long Beach , CA","33.7700504","-118.1937395"
"215266","NCT03131453","Recruiting","Drug","All","Interventional","Miami","Florida","Phase 2","Adult, Senior","FL","Miami , FL","25.7616798","-80.1917902"
"215493","NCT00348140","Completed","Drug","All","Interventional","Deerfield Beach","Florida","Phase 3","Adult, Senior","FL","Deerfield Beach , FL","26.3184123","-80.0997657"
"215532","NCT00117403","Completed","Drug","All","Interventional","Cleveland","Ohio","Phase 1","Adult, Senior","OH","Cleveland , OH","41.49932","-81.6943605"
"215588","NCT00083421","Completed","Drug","All","Interventional","Oxnard","California","Phase 2","Adult, Senior","CA","Oxnard , CA","34.1975048","-119.1770516"
"215609","NCT00004845","Completed","Drug","All","Interventional","Washington","District of Columbia","Phase 2","Adult, Senior","DC","Washington , DC","38.9071923","-77.0368707"
"215666","NCT00698165","Completed","Not available","All","Observational","Atlantis","Florida","Not available","Child, Adult, Senior","FL","Atlantis , FL","26.5909025","-80.1008762"
"215702","NCT01428362","Completed","Drug","All","Interventional","Raleigh","North Carolina","Phase 2","Adult, Senior","NC","Raleigh , NC","35.7795897","-78.6381787"
"215764","NCT00904683","Completed","Drug","All","Interventional","Hattiesburg","Mississippi","Phase 3","Adult, Senior","MS","Hattiesburg , MS","31.3271189","-89.2903392"
"215806","NCT00105105","Terminated","Drug","All","Interventional","Ft. Myers","Florida","Phase 2","Child, Adult, Senior","FL","Ft. Myers , FL","26.640628","-81.8723084"
"215813","NCT00934050","Completed","Drug","All","Interventional","Sarasota","Florida","Phase 2","Child, Adult, Senior","FL","Sarasota , FL","27.3364347","-82.5306527"
"215857","NCT00142805","Completed","Drug","All","Interventional","Brooksville","Florida","Phase 2","Adult, Senior","FL","Brooksville , FL","28.5552719","-82.3878709"
"215901","NCT00568776","Completed","Drug","All","Interventional","New Haven","Connecticut","Phase 2","Adult, Senior","CT","New Haven , CT","41.308274","-72.9278835"
"216066","NCT00818662","Completed","Biological","All","Interventional","Orange","California","Phase 3","Adult, Senior","CA","Orange , CA","33.7879139","-117.8531007"
"216112","NCT00829374","Completed","Drug","All","Interventional","La Jolla","California","Phase 3","Adult, Senior","CA","La Jolla , CA","32.8328112","-117.2712717"
"216170","NCT01900665","Terminated","Drug","All","Interventional","Fullerton","California","Phase 3","Adult, Senior","CA","Fullerton , CA","33.8703645","-117.9242123"
"216190","NCT00594568","Completed","Drug","All","Interventional","San Diego","California","Phase 3","Adult, Senior","CA","San Diego , CA","32.715738","-117.1610838"
"216324","NCT00428090","Completed","Drug","All","Interventional","Fairfield","Connecticut","Phase 3","Adult, Senior","CT","Fairfield , CT","41.1408363","-73.2612615"
"216339","NCT00905372","Completed","Drug","All","Interventional","Orange","California","Phase 3","Adult, Senior","CA","Orange , CA","33.7879139","-117.8531007"
"216385","NCT01127633","Terminated","Drug","All","Interventional","Oxnard","California","Phase 3","Adult, Senior","CA","Oxnard , CA","34.1975048","-119.1770516"
"216406","NCT00056225","Completed","Drug","All","Interventional","Palo Alto","California","Phase 3","Adult, Senior","CA","Palo Alto , CA","37.4418834","-122.1430195"
"216430","NCT01524887","Terminated","Biological","All","Interventional","Orlando","Florida","Phase 3","Adult, Senior","FL","Orlando , FL","28.5383355","-81.3792365"
"216559","NCT00672945","Terminated","Drug","All","Interventional","Delray Beach","Florida","Phase 2","Adult, Senior","FL","Delray Beach , FL","26.4614625","-80.0728201"
"216653","NCT03008161","Recruiting","Drug","All","Interventional","Orlando","Florida","Phase 1","Adult, Senior","FL","Orlando , FL","28.5383355","-81.3792365"
"216782","NCT00231946","Completed","Drug","All","Interventional","Newport Beach","California","Phase 3","Adult, Senior","CA","Newport Beach , CA","33.6188829","-117.9298493"
"216820","NCT02760602","Terminated","Drug","All","Interventional","Rancho Mirage","California","Phase 3","Adult, Senior","CA","Rancho Mirage , CA","33.739744","-116.41279"
"216839","NCT00693004","Terminated","Drug","All","Interventional","Delray Beach","Florida","Phase 2","Adult, Senior","FL","Delray Beach , FL","26.4614625","-80.0728201"
"216933","NCT00151398","Completed","Drug","All","Interventional","Ft. Lauderdale","Florida","Phase 2","Adult, Senior","FL","Ft. Lauderdale , FL","26.1224386","-80.1373174"
"216949","NCT02006641","Completed","Drug","All","Interventional","Redlands","California","Phase 3","Adult, Senior","CA","Redlands , CA","34.0555693","-117.1825381"
"216967","NCT02484547","Recruiting","Drug","All","Interventional","Oceanside","California","Phase 3","Adult, Senior","CA","Oceanside , CA","33.1958696","-117.3794834"
"216986","NCT02477800","Recruiting","Drug","All","Interventional","Simi Valley","California","Phase 3","Adult, Senior","CA","Simi Valley , CA","34.2694474","-118.781482"
"216991","NCT00440050","Completed","Drug","All","Interventional","Sacramento","California","Phase 3","Adult, Senior","CA","Sacramento , CA","38.5815719","-121.4943996"
"217028","NCT00498602","Completed","Biological","All","Interventional","New Haven","Connecticut","Phase 2","Adult, Senior","CT","New Haven , CT","41.308274","-72.9278835"
"217193","NCT02051608","Active, not recruiting","Drug","All","Interventional","Brooksville","Florida","Phase 3","Adult, Senior","FL","Brooksville , FL","28.5552719","-82.3878709"
"217237","NCT02353598","Active, not recruiting","Drug","All","Interventional","Creve Coeur","Missouri","Phase 1","Adult, Senior","MO","Creve Coeur , MO","38.6608855","-90.422618"
"217266","NCT00257673","Completed","Drug","All","Interventional","Hamden","Connecticut","Phase 2","Adult, Senior","CT","Hamden , CT","41.3838782","-72.9026064"
"217297","NCT00087724","Terminated","Drug","All","Interventional","Orange","California","Phase 2","Adult, Senior","CA","Orange , CA","33.7879139","-117.8531007"
"217343","NCT00667810","Terminated","Drug","All","Interventional","Encino","California","Phase 3","Adult, Senior","CA","Encino , CA","34.1517492","-118.5214282"
"217361","NCT00359944","Completed","Drug","All","Interventional","San Diego","California","Phase 2","Adult, Senior","CA","San Diego , CA","32.715738","-117.1610838"
"217495","NCT01955161","Completed","Drug","All","Interventional","San Francisco","California","Phase 3","Adult, Senior","CA","San Francisco , CA","37.7749295","-122.4194155"
"217622","NCT02431468","Active, not recruiting","Drug","All","Interventional","Miami","Florida","Phase 2","Adult, Senior","FL","Miami , FL","25.7616798","-80.1917902"
"217849","NCT00575055","Completed","Drug","All","Interventional","Berkeley","California","Phase 3","Adult, Senior","CA","Berkeley , CA","37.8715926","-122.272747"
"217857","NCT01224106","Active, not recruiting","Drug","All","Interventional","The Villages","Florida","Phase 3","Adult, Senior","FL","The Villages , FL","28.927019","-82.0037608"
"217881","NCT00960531","Terminated","Biological","All","Interventional","New Haven","Connecticut","Phase 2","Adult, Senior","CT","New Haven , CT","41.308274","-72.9278835"
"218046","NCT00090116","Completed","Drug","All","Interventional","New Haven","Connecticut","Phase 3","Adult, Senior","CT","New Haven , CT","41.308274","-72.9278835"
"218211","NCT02006654","Completed","Drug","All","Interventional","Hialeah","Florida","Phase 3","Adult, Senior","FL","Hialeah , FL","25.8575963","-80.2781057"
"218300","NCT00574132","Completed","Drug","All","Interventional","Berkeley","California","Phase 3","Adult, Senior","CA","Berkeley , CA","37.8715926","-122.272747"
"218308","NCT01193608","Completed","Drug","All","Interventional","Bethesda","Maryland","Phase 1","Adult, Senior","MD","Bethesda , MD","38.984652","-77.0947092"
"218335","NCT01723826","Completed","Drug","All","Interventional","Newport Beach","California","Phase 2","Adult, Senior","CA","Newport Beach , CA","33.6188829","-117.9298493"
"218373","NCT00939783","Terminated","Drug","All","Interventional","Bradenton","Florida","Phase 3","Adult, Senior","FL","Bradenton , FL","27.4989278","-82.5748194"
"218402","NCT00884507","Completed","Drug","All","Interventional","Paducah","Kentucky","Phase 2","Adult, Senior","KY","Paducah , KY","37.0833893","-88.6000478"
"218427","NCT01343966","Completed","Drug","All","Interventional","San Diego","California","Phase 2","Adult, Senior","CA","San Diego , CA","32.715738","-117.1610838"
"218561","NCT01690195","Terminated","Drug","All","Interventional","Bennington","Vermont","Phase 2","Adult, Senior","VT","Bennington , VT","42.8781345","-73.1967741"
"218655","NCT03114657","Recruiting","Drug","All","Interventional","Laguna Hills","California","Phase 3","Adult, Senior","CA","Laguna Hills , CA","33.5916433","-117.6986604"
"218688","NCT00428389","Completed","Drug","All","Interventional","Canton","Georgia","Phase 3","Adult, Senior","GA","Canton , GA","34.2367621","-84.4907621"
"218692","NCT00606476","Terminated","Drug","All","Interventional","New Haven","Connecticut","Phase 2","Child, Adult, Senior","CT","New Haven , CT","41.308274","-72.9278835"
"218857","NCT01677754","Completed","Drug","All","Interventional","Norwalk","Connecticut","Phase 2","Adult, Senior","CT","Norwalk , CT","41.117744","-73.4081575"
"218890","NCT01254773","Completed","Drug","All","Interventional","Sherman Oaks","California","Phase 2","Adult, Senior","CA","Sherman Oaks , CA","34.1489719","-118.451357"
"218916","NCT02079246","Completed","Drug","All","Interventional","Long Beach","California","Phase 3","Adult, Senior","CA","Long Beach , CA","33.7700504","-118.1937395"
"218977","NCT00890890","Terminated","Drug","All","Interventional","Newport Beach","California","Phase 2","Adult, Senior","CA","Newport Beach , CA","33.6188829","-117.9298493"
"219015","NCT01549834","Completed","Drug","All","Interventional","Elk Grove Village","Illinois","Phase 2","Adult, Senior","IL","Elk Grove Village , IL","42.0039178","-87.9703461"
"219058","NCT01492374","Completed","Drug","All","Interventional","Boston","Massachusetts","Phase 1","Adult, Senior","MA","Boston , MA","42.3600825","-71.0588801"
"219187","NCT01677572","Active, not recruiting","Drug","All","Interventional","Stanford","California","Phase 1","Adult, Senior","CA","Stanford , CA","37.424106","-122.1660756"
"219198","NCT01397578","Completed","Drug","All","Interventional","Fort Myers","Florida","Phase 2","Adult, Senior","FL","Fort Myers , FL","26.640628","-81.8723084"
"219250","NCT00810147","Completed","Drug","All","Interventional","San Diego","California","Phase 2","Adult, Senior","CA","San Diego , CA","32.715738","-117.1610838"
"219384","NCT01712074","Terminated","Drug","All","Interventional","Boynton Beach","Florida","Phase 2","Adult, Senior","FL","Boynton Beach , FL","26.5317866","-80.0905465"
"219390","NCT01369225","Completed","Drug","All","Interventional","Kalamazoo","Michigan","Phase 1","Adult, Senior","MI","Kalamazoo , MI","42.2917069","-85.5872286"
"219415","NCT02972658","Enrolling by invitation","Drug","All","Interventional","Palmetto Bay","Florida","Phase 3","Adult, Senior","FL","Palmetto Bay , FL","25.6217715","-80.3247748"
"219420","NCT00000176","Completed","Drug","Female","Interventional","Pompano Beach","Florida","Phase 3","Adult, Senior","FL","Pompano Beach , FL","26.2378597","-80.1247667"
"219434","NCT02783573","Recruiting","Drug","All","Interventional","Carlsbad","California","Phase 3","Adult, Senior","CA","Carlsbad , CA","33.1580933","-117.3505939"
"219437","NCT02788513","Suspended","Drug","All","Interventional","Santa Ana","California","Phase 2","Adult, Senior","CA","Santa Ana , CA","33.7454725","-117.867653"
"219480","NCT02337907","Active, not recruiting","Drug","All","Interventional","Tulsa","Oklahoma","Phase 2","Adult, Senior","OK","Tulsa , OK","36.1539816","-95.992775"
"219525","NCT03019536","Recruiting","Drug","All","Interventional","Princeton","New Jersey","Phase 1","Adult, Senior","NJ","Princeton , NJ","40.3572976","-74.6672226"
"219568","NCT01561430","Terminated","Drug","All","Interventional","Delray Beach","Florida","Phase 1","Adult, Senior","FL","Delray Beach , FL","26.4614625","-80.0728201"
"219662","NCT00506415","Completed","Drug","All","Interventional","La Habra","California","Phase 3","Adult, Senior","CA","La Habra , CA","33.9318591","-117.946137"
"219666","NCT00083590","Completed","Drug","All","Interventional","Fort Lauderdale","Florida","Phase 2","Adult, Senior","FL","Fort Lauderdale , FL","26.1224386","-80.1373174"
"219686","NCT00099242","Completed","Drug","All","Interventional","Snellville","Georgia","Phase 3","Adult, Senior","GA","Snellville , GA","33.857328","-84.0199108"
"219692","NCT00571064","Completed","Drug","All","Interventional","Danbury","Connecticut","Phase 4","Adult, Senior","CT","Danbury , CT","41.394817","-73.4540111"
"219708","NCT00843518","Completed","Drug","All","Interventional","Flowood","Mississippi","Phase 2","Adult, Senior","MS","Flowood , MS","32.3095903","-90.1389757"
"219730","NCT02573740","Terminated","Drug","All","Interventional","Spokane","Washington","Phase 1","Adult, Senior","WA","Spokane , WA","47.6587802","-117.4260465"
"219745","NCT02791191","Recruiting","Drug","All","Interventional","Wilmington","Delaware","Phase 2","Adult, Senior","DE","Wilmington , DE","39.7390721","-75.5397878"
"219748","NCT01766336","Terminated","Drug","All","Interventional","Orange","California","Phase 2","Adult, Senior","CA","Orange , CA","33.7879139","-117.8531007"
"219794","NCT01735630","Completed","Drug","All","Interventional","Los Alamitos","California","Phase 2","Adult, Senior","CA","Los Alamitos , CA","33.8032009","-118.0718894"
"219816","NCT00948766","Completed","Drug","All","Interventional","Poway","California","Phase 4","Adult, Senior","CA","Poway , CA","32.9628232","-117.0358646"
"219818","NCT02004392","Terminated","Drug","All","Interventional","Los Alamitos","California","Phase 3","Adult, Senior","CA","Los Alamitos , CA","33.8032009","-118.0718894"
"219840","NCT01969136","Terminated","Drug","All","Interventional","Norwich","Connecticut","Phase 3","Adult, Senior","CT","Norwich , CT","41.5242649","-72.0759105"
"219846","NCT01969123","Terminated","Drug","All","Interventional","Atlantis","Florida","Phase 3","Adult, Senior","FL","Atlantis , FL","26.5909025","-80.1008762"
"219882","NCT00112073","Completed","Drug","All","Interventional","Delray Beach","Florida","Phase 2","Adult, Senior","FL","Delray Beach , FL","26.4614625","-80.0728201"
"219976","NCT00104273","Completed","Drug","All","Interventional","Santa Monica","California","Phase 2","Adult, Senior","CA","Santa Monica , CA","34.0194543","-118.4911912"
"220002","NCT00000179","Completed","Drug","All","Interventional","Worcester","Massachusetts","Phase 3","Adult, Senior","MA","Worcester , MA","42.2625932","-71.8022934"
"220006","NCT00071721","Completed","Drug","All","Interventional","San Diego","California","Phase 3","Adult, Senior","CA","San Diego , CA","32.715738","-117.1610838"
"220140","NCT01078636","Completed","Not available","All","Observational","Palo Alto","California","Not available","Adult, Senior","CA","Palo Alto , CA","37.4418834","-122.1430195"
"220164","NCT00096473","Completed","Drug","All","Interventional","Ft. Lauderdale","Florida","Phase 3","Adult, Senior","FL","Ft. Lauderdale , FL","26.1224386","-80.1373174"
"220180","NCT02284906","Recruiting","Drug","All","Interventional","Decatur","Georgia","Phase 3","Adult, Senior","GA","Decatur , GA","33.7748275","-84.2963123"
"220233","NCT02854033","Recruiting","Not available","All","Observational","Orange","California","Not available","Adult, Senior","CA","Orange , CA","33.7879139","-117.8531007"
"220279","NCT01931566","Active, not recruiting","Drug","All","Interventional","Lake Worth","Florida","Phase 3","Adult, Senior","FL","Lake Worth , FL","26.6167555","-80.0684479"
"220306","NCT02918539","Active, not recruiting","Drug","All","Observational","San Diego","California","Not available","Adult, Senior","CA","San Diego , CA","32.715738","-117.1610838"
"220440","NCT00103649","Completed","Drug","All","Interventional","Newport Beach","California","Phase 3","Adult, Senior","CA","Newport Beach , CA","33.6188829","-117.9298493"
"220478","NCT00153010","Completed","Drug","All","Interventional","Oceanside","California","Phase 2","Adult, Senior","CA","Oceanside , CA","33.1958696","-117.3794834"
"220497","NCT02036645","Completed","Biological","All","Interventional","Oklahoma City","Oklahoma","Phase 1","Adult, Senior","OK","Oklahoma City , OK","35.4675602","-97.5164276"
"220593","NCT00036114","Completed","Drug","All","Interventional","Hamden","Connecticut","Phase 3","Adult, Senior","CT","Hamden , CT","41.3838782","-72.9026064"
"220624","NCT00546767","Completed","Behavioral","All","Interventional","Jacksonville","Florida","Not available","Senior","FL","Jacksonville , FL","30.3321838","-81.655651"
"220695","NCT02951598","Active, not recruiting","Drug","All","Interventional","Panorama City","California","Not available","Adult, Senior","CA","Panorama City , CA","34.227617","-118.442425"
"220699","NCT03118947","Recruiting","Drug","All","Interventional","Miami","Florida","Phase 2","Adult, Senior","FL","Miami , FL","25.7616798","-80.1917902"
"220926","NCT00663026","Completed","Drug","All","Interventional","Decatur","Georgia","Phase 2","Adult, Senior","GA","Decatur , GA","33.7748275","-84.2963123"
"220979","NCT00322153","Completed","Drug","All","Interventional","Delray Beach","Florida","Phase 3","Adult, Senior","FL","Delray Beach , FL","26.4614625","-80.0728201"
"221073","NCT02992132","Recruiting","Drug","All","Interventional","Boca Raton","Florida","Phase 2","Adult, Senior","FL","Boca Raton , FL","26.3683064","-80.1289321"
"221120","NCT02322021","Active, not recruiting","Drug","All","Interventional","Brooksville","Florida","Phase 2","Adult, Senior","FL","Brooksville , FL","28.5552719","-82.3878709"
"221164","NCT02750306","Recruiting","Drug","All","Interventional","Miami","Florida","Phase 3","Adult, Senior","FL","Miami , FL","25.7616798","-80.1917902"
"221391","NCT00021723","Terminated","Biological","All","Interventional","Rochester","Minnesota","Phase 2","Adult, Senior","MN","Rochester , MN","44.0121221","-92.4801989"
"221425","NCT00702143","Completed","Drug","All","Interventional","St. Petersburg","Florida","Phase 2","Adult, Senior","FL","St. Petersburg , FL","27.7518284","-82.6267345"
"221461","NCT00006187","Terminated","Drug","All","Interventional","New Haven","Connecticut","Phase 3","Adult, Senior","CT","New Haven , CT","41.308274","-72.9278835"
"221626","NCT02817906","Recruiting","Drug","All","Interventional","Oceanside","California","Phase 3","Adult, Senior","CA","Oceanside , CA","33.1958696","-117.3794834"
"221645","NCT00034567","Completed","Not available","All","Observational","New Haven","Connecticut","Not available","Senior","CT","New Haven , CT","41.308274","-72.9278835"
"221810","NCT00795418","Completed","Biological","All","Interventional","Knoxville","Tennessee","Phase 2","Adult, Senior","TN","Knoxville , TN","35.9606384","-83.9207392"
"221826","NCT00550420","Terminated","Drug","All","Interventional","Nashville","Tennessee","Phase 3","Adult, Senior","TN","Nashville , TN","36.1626638","-86.7816016"
"221863","NCT00809510","Terminated","Drug","All","Interventional","Delray Beach","Florida","Phase 2","Adult, Senior","FL","Delray Beach , FL","26.4614625","-80.0728201"
"221957","NCT00490568","Terminated","Drug","All","Interventional","San Francisco","California","Phase 3","Adult, Senior","CA","San Francisco , CA","37.7749295","-122.4194155"
"222084","NCT01760005","Recruiting","Drug","All","Interventional","Providence","Rhode Island","Phase 2","Adult, Senior","RI","Providence , RI","41.8239891","-71.4128343"
"222175","NCT00239759","Completed","Not available","All","Observational","Indianapolis","Indiana","Not available","Adult, Senior","IN","Indianapolis , IN","39.768403","-86.158068"
"222293","NCT01035138","Completed","Drug","All","Interventional","San Diego","California","Phase 3","Adult, Senior","CA","San Diego , CA","32.715738","-117.1610838"
"222427","NCT00380276","Terminated","Drug","All","Interventional","Laguna Hills","California","Phase 3","Adult, Senior","CA","Laguna Hills , CA","33.5916433","-117.6986604"
"222460","NCT00916617","Terminated","Drug","All","Interventional","Wichita","Kansas","Phase 2","Adult, Senior","KS","Wichita , KS","37.6871761","-97.330053"
"222483","NCT02016560","Completed","Drug","All","Interventional","San Francisco","California","Phase 2","Adult, Senior","CA","San Francisco , CA","37.7749295","-122.4194155"
"222610","NCT01741194","Completed","Drug","All","Interventional","Downey","California","Phase 2","Senior","CA","Downey , CA","33.9401088","-118.1331593"
"222616","NCT00151502","Completed","Drug","All","Interventional","St Petersburg","Florida","Phase 3","Adult, Senior","FL","St Petersburg , FL","27.7518284","-82.6267345"
"222626","NCT01266525","Completed","Drug","All","Interventional","Darien","Connecticut","Phase 2","Adult, Senior","CT","Darien , CT","41.0771914","-73.4686858"
"222637","NCT01073228","Completed","Drug","All","Interventional","Delray Beach","Florida","Phase 2","Adult, Senior","FL","Delray Beach , FL","26.4614625","-80.0728201"
"222731","NCT00141661","Completed","Drug","All","Interventional","Largo","Florida","Phase 2","Adult, Senior","FL","Largo , FL","27.9094665","-82.7873244"
"222734","NCT00000171","Completed","Drug","All","Interventional","Tampa","Florida","Phase 3","Adult, Senior","FL","Tampa , FL","27.950575","-82.4571776"
"222915","NCT00000177","Completed","Drug","Female","Interventional","Kansas City","Kansas","Phase 3","Adult, Senior","KS","Kansas City , KS","39.114053","-94.6274636"
"222956","NCT00000174","Completed","Drug","All","Interventional","Lakewood","New Jersey","Phase 3","Adult, Senior","NJ","Lakewood , NJ","40.082129","-74.2097014"
"222957","NCT01231971","Active, not recruiting","Not available","All","Observational","Orange","California","Not available","Adult, Senior","CA","Orange , CA","33.7879139","-117.8531007"
"223003","NCT00322036","Terminated","Drug","All","Interventional","Hollywood","Florida","Phase 3","Adult, Senior","FL","Hollywood , FL","26.0112014","-80.1494901"
"223031","NCT01825330","Completed","Device","All","Interventional","Cleveland","Ohio","Not available","Adult, Senior","OH","Cleveland , OH","41.49932","-81.6943605"
"223087","NCT01548287","Completed","Drug","All","Interventional","Tampa","Florida","Phase 2","Adult, Senior","FL","Tampa , FL","27.950575","-82.4571776"
"223268","NCT01767909","Active, not recruiting","Drug","All","Interventional","Chicago","Illinois","Phase 2","Adult, Senior","IL","Chicago , IL","41.8781136","-87.6297982"
"223371","NCT00105547","Completed","Drug","All","Interventional","Fresno","California","Phase 3","Adult, Senior","CA","Fresno , CA","36.7468422","-119.7725868"
