"nct_number","locnum","state","city","institution"
"NCT00571064",5," California"," Carson","AVI Clinical Research"
"NCT00571064",6," California"," Fresno","Margolin Brain Institute"
"NCT00571064",7," California"," Hawthorne"," MD Inc,Sarah Sam Olelewe"
"NCT00571064",8," California"," Santa Ana","Neuropsychiatric Research Center of Orange County"
"NCT00571064",9," Connecticut"," Danbury"," LLC,Danbury Clinical Research"
"NCT00571064",10," Connecticut"," Norwalk","Research Center for Clinical Studies"
"NCT00571064",11," Florida"," Miami Springs","Galiz Research"
"NCT00571064",12," Florida"," Miami","Neuroscience Consultants"
"NCT00571064",13," Florida"," Orlando","Universal Clinical research and Technology"
"NCT00571064",14," Florida"," Tampa","Byrd's Alzheimer Institute"
"NCT00571064",15," Florida"," Tampa","Stedman Clinical Trials"
"NCT00571064",16," Florida"," Venice","Center for Clinical Trials"
"NCT00571064",17," Illinois"," Chicago","Rush Alzheimer Disease Center"
"NCT00571064",18," Illinois"," Elk Grove","Alexian Brothers Neuroscience Institute"
"NCT00571064",19," Indiana"," Indianapolis","Agewell Health Ltd"
"NCT00571064",20," Kansas"," Mission","Venture Resource Group Inc"
"NCT00571064",21," Kentucky"," Paducah","Four Rivers Clinical Research"
"NCT00571064",22," Massachusetts"," Belmont","McLean Hospital Geriatric Psychiatry"
"NCT00571064",23," Massachusetts"," Pittsfield","Neuroscience Research of the Bershires"
"NCT00571064",24," Nevada"," Las Vegas","Horne Research"
"NCT00571064",25," New Jersey"," Toms River","BioBehavioral Health"
"NCT00571064",26," New Mexico"," Albuquerque","University of New Mexico"
"NCT00571064",27," New York"," Albany"," PC,Neurological Associates of Albany"
"NCT00571064",28," New York"," Buffalo","University Of Buffalo"
"NCT00571064",29," New York"," Rochester"," Monroe Community Hospital,University of Rochester"
"NCT00571064",30," Ohio"," Centerville","Valley Medical Research"
"NCT00571064",31," Oklahoma"," Oklahoma City","Infinity Research Group"
"NCT00571064",32," Pennsylvania"," Philadelphia"," Section of Geriatric Psychiatry,University of Pennsylvania"
"NCT00571064",33," Rhode Island"," East Providence","Rhode Island Mood and Memory Research Institute"
"NCT00571064",34," Rhode Island"," East Providence","CNS Research Inc"
"NCT00571064",35," Texas"," Austin","Senior Adults Specialty Research"
"NCT00571064",36," Texas"," Plano","Mech Center"
"NCT00574132",1," Alabama"," Birmingham","University of Alabama Hospital (UAB)"
"NCT00574132",2," Arizona"," Goodyear"," Inc.,Dedicated Clinical Research"
"NCT00574132",3," Arizona"," Phoenix","Banner Alzheimer's Institute"
"NCT00574132",4," Arizona"," Phoenix"," LLC,HOPE Research Institute"
"NCT00574132",5," Arizona"," Sun City","Banner Research Institute"
"NCT00574132",6," Arizona"," Tucson"," Health Science Center,University of Arizona College of Medicine"
"NCT00574132",7," Arizona"," Tucson"," PLLC,Northwest Neurospecialists"
"NCT00574132",8," Arkansas"," Little Rock","Clinical Trials Inc."
"NCT00574132",9," California"," Berkeley","East Bay Physicians Medical Group"
"NCT00574132",10," California"," Carson","AVI Clinical Research"
"NCT00574132",11," California"," Costa Mesa"," Inc,ATP Clinical Research"
"NCT00574132",12," California"," Encino","Pharmacology Research Institute"
"NCT00574132",13," California"," Fresno","Margolin Brain Institute"
"NCT00574132",14," California"," Fullerton","Neurology Center of North Orange County"
"NCT00574132",15," California"," Glendale","Integrated Medical and Behavioral Associates"
"NCT00574132",16," California"," Imperial","Sun Valley Behavioral Medical Center"
"NCT00574132",17," California"," La Jolla","Coordinated Clinical Research"
"NCT00574132",18," California"," La Jolla","University of California San Diego/Shela Marcos Alzheimer's Disease Research Center"
"NCT00574132",19," California"," Laguna Hills","Senior Clinical Trials"
"NCT00574132",20," California"," Long Beach","Collaborative Neuroscience Network"
"NCT00574132",21," California"," Los Alamitos","Pharmacology Research Institute"
"NCT00574132",22," California"," Los Angeles"," Inc,Vintage Institute for Clinical Research"
"NCT00574132",23," California"," Los Angeles","UCLA Department of Neurology"
"NCT00574132",24," California"," National City","Synergy Research"
"NCT00574132",25," California"," Newport Beach","Pharmacology Research Institute"
"NCT00574132",26," California"," Oceanside","The Neurology Center"
"NCT00574132",27," California"," Orange"," Irvine Medical Center,University of California"
"NCT00574132",28," California"," Pasadena","Neuro-Therapeutics Inc."
"NCT00574132",29," California"," Rancho Mirage"," Inc.,The Southwest Institute for Clinical Research"
"NCT00574132",30," California"," Sacramento","Sutter Neuroscience Medical Group"
"NCT00574132",31," California"," Sacramento"," Alzheimer's Disease Center, Davis,University of California"
"NCT00574132",32," California"," San Diego","Artemis Institute for Clinical Research"
"NCT00574132",33," California"," San Diego","Sharp Mesa Vista Hospital"
"NCT00574132",34," California"," San Francisco","San Francisco Clinical Research Center"
"NCT00574132",35," California"," San Francisco"," San Francisco,University of California"
"NCT00574132",36," California"," Santa Ana","Neuropsychiatric Research Center of Orange County"
"NCT00574132",37," California"," Santa Monica","Neurological Research Institute"
"NCT00574132",38," California"," Sherman Oaks","Schuster Medical Research Institute"
"NCT00574132",39," California"," Walnut Creek"," Inc,Diablo Clinical Research"
"NCT00574132",40," Colorado"," Boulder","Alpine Clinical Research Center"
"NCT00574132",41," Colorado"," Denver","Mile High Research Center"
"NCT00574132",42," Colorado"," Fort Collins"," LLC,Advanced Neurosciences Research"
"NCT00574132",43," Connecticut"," Danbury"," PC,Associated Neurologists"
"NCT00574132",44," Connecticut"," Fairfield"," P.C.,Associated Neurologists of Southern CT"
"NCT00574132",45," Connecticut"," New Haven","Institute for Neurodegenerative Disorders"
"NCT00574132",46," Connecticut"," New Haven"," Alzheimer's Disease Research Unit,Yale University School of Medicine"
"NCT00574132",47," Connecticut"," Norwalk"," Inc,Research Center for Clinical Studies"
"NCT00574132",48," Connecticut"," Waterbury"," LLC,Chase Medical Research"
"NCT00574132",49," Delaware"," Newark","Christiana Care Health Services"
"NCT00574132",50," District of Columbia"," Washington","Georgetown University Medical Center"
"NCT00574132",51," Florida"," Atlantis"," LLC,JEM Research"
"NCT00574132",52," Florida"," Bradenton"," Inc,Bradenton Research Center"
"NCT00574132",53," Florida"," Deerfield Beach"," Inc.,Quantum Laboratories"
"NCT00574132",54," Florida"," Delray Beach"," Inc.,Brain Matters Research"
"NCT00574132",55," Florida"," Fort Lauderdale"," P.A.,Neurologic Consultants"
"NCT00574132",56," Florida"," Fort Myers"," Inc.,Clinical Physiology Associates"
"NCT00574132",57," Florida"," Fort Walton Beach"," PA.,Emerald Coast Mood & Memory"
"NCT00574132",58," Florida"," Ft. Myers","Neuropsychiatric Research Center of Southwest Florida"
"NCT00574132",59," Florida"," Hallandale Beach","MD Clinical"
"NCT00574132",60," Florida"," Hollywood"," Inc.,Sunrise Clinical Research"
"NCT00574132",61," Florida"," Jacksonville","Mayo Clinic College of Medicine"
"NCT00574132",62," Florida"," Maitland","Neurology Associates"
"NCT00574132",63," Florida"," Melbourne"," MIMA,Melbourne International Medicine Associates"
"NCT00574132",64," Florida"," Miami"," LLC,Pharmax Research Clinic"
"NCT00574132",65," Florida"," Miami","Miami Jewish Health Systems"
"NCT00574132",66," Florida"," Miami"," Inc.,Allied Clinical Trials"
"NCT00574132",67," Florida"," Ocala","Renstar Medical Research"
"NCT00574132",68," Florida"," Orange City","Medical Research Group of Central Florida"
"NCT00574132",69," Florida"," Orlando"," LLC,Compass Research"
"NCT00574132",70," Florida"," Palm Beach Gardens","Palm Beach Neurological Center/Advanced Research Consultants"
"NCT00574132",71," Florida"," Pembroke Pines"," Inc.,Broward Research Group"
"NCT00574132",72," Florida"," Port Charlotte"," Inc,Neurostudies"
"NCT00574132",73," Florida"," Sarasota","Roskamp Institute"
"NCT00574132",74," Florida"," South Miami","Miami Research Associates"
"NCT00574132",75," Florida"," St Petersburg"," Inc.,Suncoast Neuroscience Associates"
"NCT00574132",76," Florida"," St. Petersburg","Meridien Research"
"NCT00574132",77," Florida"," Tampa","Axiom Clinical Research of Florida"
"NCT00574132",78," Florida"," Tampa","Johnnie B. Byrd Sr. Alzheimer's Center and Research Institute"
"NCT00574132",79," Florida"," Tampa","Stedman Clinical Trials"
"NCT00574132",80," Florida"," Tampa","University of South Florida Suncoast Alzheimer's and Gerontology Center"
"NCT00574132",81," Florida"," West Palm Beach","Premiere Research Institute"
"NCT00574132",82," Georgia"," Atlanta","Emory University/School of Medicine"
"NCT00574132",83," Georgia"," Atlanta","MS Center of Atlanta"
"NCT00574132",84," Georgia"," Atlanta"," Inc.,NeuroTrials Research"
"NCT00574132",85," Georgia"," Columbus"," Inc.,Medical Research and Health Education Foundation"
"NCT00574132",86," Georgia"," Decatur","Dekalb Neurology Associates"
"NCT00574132",87," Georgia"," Lawrenceville","Gwinnett Medical Center"
"NCT00574132",88," Illinois"," Chicago","Northwestern University Feinberg School of Medicine"
"NCT00574132",89," Illinois"," Chicago","University of Chicago Medical Center"
"NCT00574132",90," Illinois"," Elk Grove Village","Alexian Brothers Neurosciences Institute"
"NCT00574132",91," Illinois"," Peoria","Methodist Medical Center of Illinois"
"NCT00574132",92," Illinois"," Springfield"," School of Medicine,Southern Illinois University"
"NCT00574132",93," Indiana"," Elkhart"," LLC,Elkhart Clinic"
"NCT00574132",94," Indiana"," Fort Wayne","Fort Wayne Neurological Center"
"NCT00574132",95," Indiana"," Indianapolis","Indiana University School of Medicine"
"NCT00574132",96," Kansas"," Kansas City","Kansas Multi-Specialist Group"
"NCT00574132",97," Kansas"," Kansas City","University of Kansas Medical Center"
"NCT00574132",98," Kansas"," Lenexa","Mid America Neuroscience Institute"
"NCT00574132",99," Kentucky"," Lexington"," PSC,Associates in Neurology"
"NCT00574132",100," Kentucky"," Lexington","University of Kentucky"
"NCT00574132",101," Kentucky"," Paducah","Four Rivers Clinical Research"
"NCT00574132",102," Louisiana"," Lake Charles","Lake Charles Clinical Trials"
"NCT00574132",103," Louisiana"," New Orleans"," Inc.,Louisiana Research Associates"
"NCT00574132",104," Louisiana"," Shreveport","Louisana State University Health Sciences Center"
"NCT00574132",105," Louisiana"," Shreveport"," APMC, MD,J. Gary Booker"
"NCT00574132",106," Maine"," Scarborough","Maine Medical Partners Neurology"
"NCT00574132",107," Maryland"," Baltimore","University of Maryland"
"NCT00574132",108," Maryland"," Baltimore","Johns Hopkins School of Medicine"
"NCT00574132",109," Maryland"," Rockville"," LLC,CBH Health"
"NCT00574132",110," Massachusetts"," Belmont","McLean Hospital"
"NCT00574132",111," Massachusetts"," Boston","Brigham and Women's Hospital"
"NCT00574132",112," Massachusetts"," Boston","Boston University School of Medicine"
"NCT00574132",113," Massachusetts"," Haverhill"," Inc,ActivMed Practices and Research"
"NCT00574132",114," Massachusetts"," Newton"," Inc.,Neurocare"
"NCT00574132",115," Massachusetts"," Pittsfield","Neuroscience Research of the Berkshires"
"NCT00574132",116," Massachusetts"," Plymouth"," P.C., MD,Donald S. Marks"
"NCT00574132",117," Massachusetts"," Springfield","Memory Wellness Clinic"
"NCT00574132",118," Massachusetts"," Springfield","Springfield Neurology Associates"
"NCT00574132",119," Massachusetts"," Weymouth"," Inc.,Coastal Research Associates"
"NCT00574132",120," Michigan"," Ann Arbor","University of Michigan"
"NCT00574132",121," Michigan"," Detroit","Henry Ford Hospital"
"NCT00574132",122," Michigan"," East Lansing","Michigan State University"
"NCT00574132",123," Michigan"," Grand Rapids","Saint Mary's Health Care"
"NCT00574132",124," Michigan"," Kalamazoo","Borgess Medical Center/Borgess Research Institute"
"NCT00574132",125," Minnesota"," Rochester","Mayo Clinic"
"NCT00574132",126," Mississippi"," Flowood","Precise Research Centers"
"NCT00574132",127," Mississippi"," Hattiesburg","Hattiesburg Clinic"
"NCT00574132",128," Missouri"," Kansas City"," Mid America Brain and Stroke Institute,Saint Luke's Hospital"
"NCT00574132",129," Missouri"," Kansas City","The Center for Pharmaceutical Research"
"NCT00574132",130," Missouri"," St. Louis","St. Louis University School of Medicine"
"NCT00574132",131," Missouri"," St. Louis","Washington University School of Medicine"
"NCT00574132",132," Montana"," Billings","Deaconess Billings Clinical Research Center"
"NCT00574132",133," Montana"," Great Falls","Advanced Neurology Specialists"
"NCT00574132",134," Nebraska"," Omaha","University of Nebraska Medical Center"
"NCT00574132",135," Nevada"," Las Vegas","Cleveland Clinic Lou Ruvo Center for Brain Health"
"NCT00574132",136," New Hampshire"," Dover"," PA,Coastal Neurology"
"NCT00574132",137," New Hampshire"," Lebanon"," Dept of Neurology,Dartmouth Hitchcock Medical Center"
"NCT00574132",138," New Jersey"," Berlin","Comprehensive Clinical Research"
"NCT00574132",139," New Jersey"," Eatontown"," Inc.,The Memory Enhancement Center of America"
"NCT00574132",140," New Jersey"," Manchester","Alzheimer's Research Corporation (ARC)"
"NCT00574132",141," New Jersey"," Mount Arlington","The NeuroCognitive Institute"
"NCT00574132",142," New Jersey"," Princeton","Princeton Medical Institute"
"NCT00574132",143," New Jersey"," Stratford","University of Medicine and Dentistry of New Jersey"
"NCT00574132",144," New Jersey"," Toms River"," P.A.,Shore Neurology"
"NCT00574132",145," New Mexico"," Albuquerque"," Inc.,Albuquerque Neuroscience"
"NCT00574132",146," New Mexico"," Albuquerque"," Health Sciences Center,University of New Mexico"
"NCT00574132",147," New York"," Albany"," LLC,Upstate Clinical Research"
"NCT00574132",148," New York"," Albany"," P.C.,Neurological Associates of Albany"
"NCT00574132",149," New York"," Albany","Neuroscience Research Center at Albany Medical Center"
"NCT00574132",150," New York"," Brooklyn","Social Psychiatry Research Institute"
"NCT00574132",151," New York"," Cedarhurst","Five Towns Neuroscience Research"
"NCT00574132",152," New York"," Elmsford","Advanced Bio-Behavioral Sciences"
"NCT00574132",153," New York"," Latham"," PC,Empire Neurology"
"NCT00574132",154," New York"," Liverpool","Neurological Care of CNY"
"NCT00574132",155," New York"," New Hyde Park","Parker Jewish Institute for Health Care & Rehabilitation"
"NCT00574132",156," New York"," New York","NYU School of Medicine/Psychiatry"
"NCT00574132",157," New York"," New York","Mt. Sinai School of Medicine"
"NCT00574132",158," New York"," New York","Columbia University/Medical Center"
"NCT00574132",159," New York"," New York","Dent Neurologic Institute"
"NCT00574132",160," New York"," Orangeburg","Nathan S. Kline Institute for Psychiatric Research"
"NCT00574132",161," New York"," Rochester","University of Rochester Medical Center @ Monroe Community Hospital"
"NCT00574132",162," North Carolina"," Durham","Duke University Medical Center"
"NCT00574132",163," North Carolina"," Hickory"," Inc,Clinical Trials of America"
"NCT00574132",164," North Carolina"," Hickory","New Hope Clinical Research"
"NCT00574132",165," North Carolina"," Raleigh","Raleigh Neurology Associates"
"NCT00574132",166," North Carolina"," Winston-Salem","Wake Forest University Health Sciences"
"NCT00574132",167," Ohio"," Beachwood"," Inc., M.D. & Associates,Rakesh Ranjan"
"NCT00574132",168," Ohio"," Canton"," Inc,Neuro-Behavioral Clinical Research"
"NCT00574132",169," Ohio"," Canton"," Inc,NeuroCare Center"
"NCT00574132",170," Ohio"," Cleveland","University Memory and Aging Center University Hospitals of Cleveland/Case Medical Center"
"NCT00574132",171," Ohio"," Columbus","Ohio State University"
"NCT00574132",172," Ohio"," Dayton"," Inc.,Neurology Specialists"
"NCT00574132",173," Ohio"," Toledo","Neurology and Neuroscience Center of Ohio"
"NCT00574132",174," Oklahoma"," Oklahoma City","Lynn Health Science Institute"
"NCT00574132",175," Oklahoma"," Oklahoma City"," LLC,Red River Medical Research Center"
"NCT00574132",176," Oregon"," Medford","Providence Medical Group-Medford Neurology"
"NCT00574132",177," Oregon"," Portland"," Inc.,Summit Research Group"
"NCT00574132",178," Oregon"," Portland"," Brain Institute, AD Center,Providence Health Service System"
"NCT00574132",179," Oregon"," Portland","Oregon Health & Sciences University"
"NCT00574132",180," Pennsylvania"," Abington"," Ltd,Abington Neurological Associates"
"NCT00574132",181," Pennsylvania"," Allentown","Lehigh Valley Health Network"
"NCT00574132",182," Pennsylvania"," Jenkintown"," LLC,The Clinical Trial Center"
"NCT00574132",183," Pennsylvania"," Philadelphia","Drexel University College of Medicine"
"NCT00574132",184," Pennsylvania"," Philadelphia","Penn Memory Center"
"NCT00574132",185," Pennsylvania"," Philadelphia","Jefferson Hospital for Neuroscience"
"NCT00574132",186," Pennsylvania"," Pittsburgh","University of Pittsburgh"
"NCT00574132",187," Pennsylvania"," Pittsburg"," LLC,Clinical Trials Research Services"
"NCT00574132",188," Rhode Island"," East Providence","Rhode Island Mood and Memory Research Institute"
"NCT00574132",189," Rhode Island"," Providence","Rhode Island Hospital"
"NCT00574132",190," Rhode Island"," Providence","Butler Hospital"
"NCT00574132",191," South Carolina"," N. Charleston","Medical University of South Carolina"
"NCT00574132",192," South Dakota"," Sioux Falls","Avera Research Institute"
"NCT00574132",193," Tennessee"," Cordova"," PC,Neurology Clinic"
"NCT00574132",194," Tennessee"," Franklin"," PC,Psychiatric Consultants"
"NCT00574132",195," Tennessee"," Johnson City","East Tennessee State University"
"NCT00574132",196," Tennessee"," Knoxville","Volunteer Research Group"
"NCT00574132",197," Texas"," Austin","Senior Adults Specialty Research (SASR)"
"NCT00574132",198," Texas"," Dallas"," PA,Texas Neurology"
"NCT00574132",199," Texas"," Dallas","University of Texas Southwestern Medical Center at Dallas"
"NCT00574132",200," Texas"," DeSoto","InSite Clinical Research"
"NCT00574132",201," Texas"," Fort Worth","University of North Texas/Health Sciences Center-Fort Worth"
"NCT00574132",202," Texas"," Houston"," Ltd.,Claghorn-Lesem Research Clinic"
"NCT00574132",203," Texas"," Houston","Baylor College of Medicine"
"NCT00574132",204," Texas"," San Antonio","Innovative Clinical Trials"
"NCT00574132",205," Texas"," San Antonio"," LLC,Integra Clinical Research"
"NCT00574132",206," Texas"," Wichita Falls"," Inc,Grayline Clinical Drug Trials"
"NCT00574132",207," Utah"," Salt Lake City","Wasatch Clinical Research"
"NCT00574132",208," Utah"," Salt Lake City"," Dept of Neurology,University of Utah"
"NCT00574132",209," Vermont"," Bennington","The Memory Clinic"
"NCT00574132",210," Vermont"," Burlington","Fletcher Allen Health Care"
"NCT00574132",211," Virginia"," Alexandria","Innovative Clinical Research Center"
"NCT00574132",212," Virginia"," Charlottesville","University of Virginia"
"NCT00574132",213," Virginia"," Richmond"," LLC,Alliance Research Group"
"NCT00574132",214," Washington"," Seattle","University of Washington Veterans Affairs"
"NCT00574132",215," Washington"," Seattle","Pacific Medical Centers"
"NCT00574132",216," Washington"," Wenatchee","Wenatchee Valley Medical Center"
"NCT00574132",217," Wisconsin"," Madison","University of Wisconson Medical School of Medicine and Public Health"
"NCT00574132",218," Wisconsin"," Milwaukee","Medical College of Wisconsin"
"NCT00574132",219," Wisconsin"," Waukesha","Independent Pyschiatric Consultants"
"NCT00575055",1," Alabama"," Birmingham","University of Alabama Hospital (UAB)"
"NCT00575055",2," Arizona"," Goodyear"," Inc.,Dedicated Clinical Research"
"NCT00575055",3," Arizona"," Phoenix","Banner Alzheimer's Institute"
"NCT00575055",4," Arizona"," Phoenix"," LLC,HOPE Research Institute"
"NCT00575055",5," Arizona"," Sun City","Banner Research Institute"
"NCT00575055",6," Arizona"," Tucson"," Health Sciences Center,University of Arizona College of Medicine"
"NCT00575055",7," Arizona"," Tucson"," PLLC,Northwest NeuroSpecialists"
"NCT00575055",8," Arkansas"," Little Rock","Clinical Trials Inc."
"NCT00575055",9," California"," Berkeley","East Bay Physicians Medical Group"
"NCT00575055",10," California"," Carson","AVI Clinical Research"
"NCT00575055",11," California"," Costa Mesa"," Inc,ATP Clinical Research"
"NCT00575055",12," California"," Encino","Pharmacology Research Institute"
"NCT00575055",13," California"," Fresno","Margolin Brain Institute"
"NCT00575055",14," California"," Fullerton","Neurology Center of North Orange County"
"NCT00575055",15," California"," La Jolla","Coordinated Clinical Research"
"NCT00575055",16," California"," La Jolla","University of California San Diego"
"NCT00575055",17," California"," Laguna Hills"," Inc,Senior Clinical Trials"
"NCT00575055",18," California"," Long Beach"," Inc.,Collaborative NeuroScience Network"
"NCT00575055",19," California"," Los Alamitos","Pharmacology Research Institute"
"NCT00575055",20," California"," Los Angeles"," Inc,Vintage Institute for Clinical Research"
"NCT00575055",21," California"," Los Angeles","UCLA Department of Neurology"
"NCT00575055",22," California"," Newport Beach","Pharmacology Research Institute"
"NCT00575055",23," California"," Oceanside","Neurology Center"
"NCT00575055",24," California"," Orange","University of California Irvine Medical Center"
"NCT00575055",25," California"," Pasadena","Neuro-Therapeutics Inc."
"NCT00575055",26," California"," Sacramento","Sutter Neuroscience Medical Group"
"NCT00575055",27," California"," Sacramento","University of California Davis Alzheimer's Disease Research Center"
"NCT00575055",28," California"," San Diego","Artemis Institute for Clinical Research"
"NCT00575055",29," California"," San Diego","Sharp Mesa Vista Hospital"
"NCT00575055",30," California"," San Francisco","San Francisco Clinical Research Center"
"NCT00575055",31," California"," San Francisco","University of California at San Francisco Medical Center at Parnassus"
"NCT00575055",32," California"," Santa Monica","Neurological Research Institute"
"NCT00575055",33," California"," Sherman Oaks","Schuster Medical Research Institute"
"NCT00575055",34," California"," Walnut Creek"," Inc.,Diablo Clinical Research"
"NCT00575055",35," Colorado"," Boulder","Alpine Clinical Research Center"
"NCT00575055",36," Colorado"," Denver","Mile High Research Center"
"NCT00575055",37," Colorado"," Fort Collins"," LLC,Advanced Neurosciences Research"
"NCT00575055",38," Connecticut"," Danbury"," PC,Associated Neurologists"
"NCT00575055",39," Connecticut"," Fairfield"," P.C.,Associated Neurologists of Southern CT"
"NCT00575055",40," Connecticut"," New Haven","Institute for Neurodegenerative Disorders"
"NCT00575055",41," Connecticut"," New Haven","Yale University School of Medicine"
"NCT00575055",42," Connecticut"," Norwalk"," Inc,Research Center for Clinical Studies"
"NCT00575055",43," Connecticut"," Waterbury"," LLC,Chase Medical Research"
"NCT00575055",44," Delaware"," Newark","Christiana Care Health Services"
"NCT00575055",45," District of Columbia"," Washington","Georgetown University Medical Center"
"NCT00575055",46," Florida"," Atlantis"," LLC,JEM Research"
"NCT00575055",47," Florida"," Bradenton"," Inc,Bradenton Research Center"
"NCT00575055",48," Florida"," Deerfield Beach"," Inc.,Quantum Laboratories"
"NCT00575055",49," Florida"," Delray Beach","Brain Matters Research"
"NCT00575055",50," Florida"," Fort Lauderdale"," P.A.,Neurologic Consultants"
"NCT00575055",51," Florida"," Fort Myers"," Inc.,Clinical Physiology Associates"
"NCT00575055",52," Florida"," Fort Walton Beach"," PA.,Emerald Coast Mood & Memory"
"NCT00575055",53," Florida"," Ft. Myers","Neuropsychiatric Research Center of Southwest Florida"
"NCT00575055",54," Florida"," Hallandale Beach","MD Clinical"
"NCT00575055",55," Florida"," Jacksonville","Mayo Clinic College of Medicine"
"NCT00575055",56," Florida"," Maitland","Neurology Associates"
"NCT00575055",57," Florida"," Melbourne"," MIMA,Melbourne Internal Medicine Associates"
"NCT00575055",58," Florida"," Miami"," LLC,Pharmax Research Clinic"
"NCT00575055",59," Florida"," Miami","Miami Jewish Health Systems"
"NCT00575055",60," Florida"," Miami"," Inc.,Allied Clinical Trials"
"NCT00575055",61," Florida"," Ocala","Renstar Medical Research"
"NCT00575055",62," Florida"," Orlando"," LLC,Compass Research"
"NCT00575055",63," Florida"," Palm Beach Gardens","Palm Beach Neurological Center/Advanced Research Consultants"
"NCT00575055",64," Florida"," Port Charlotte"," Inc,Neurostudies"
"NCT00575055",65," Florida"," Sarasota"," Inc,The Roskamp Institute"
"NCT00575055",66," Florida"," South Miami","Miami Research Associates"
"NCT00575055",67," Florida"," St Petersburg"," Inc.,Suncoast Neuroscience Associates"
"NCT00575055",68," Florida"," St. Petersburg","Meridien Research"
"NCT00575055",69," Florida"," Tampa","Axiom Clinical Research of Florida"
"NCT00575055",70," Florida"," Tampa","Johnnie B. Byrd Sr. Alzheimer's Center and Research Institute"
"NCT00575055",71," Florida"," Tampa"," LLC,Stedman Clinical Trials"
"NCT00575055",72," Florida"," Tampa","University of South Florida Suncoast Alzheimer's and Gerontology Center"
"NCT00575055",73," Florida"," West Palm Beach","Premiere Research Institute"
"NCT00575055",74," Georgia"," Atlanta"," School of Medicine,Emory University"
"NCT00575055",75," Georgia"," Atlanta","Multiple Sclerosis Center of Atlanta"
"NCT00575055",76," Georgia"," Atlanta"," Inc.,NeuroTrials Research"
"NCT00575055",77," Georgia"," Columbus"," Inc,Medical Research and Health Educational Foundation"
"NCT00575055",78," Georgia"," Decatur"," LLC,DeKalb Neurology Associates"
"NCT00575055",79," Georgia"," Lawrenceville","Gwinnett Medical Center"
"NCT00575055",80," Illinois"," Chicago","University of Chicago Medical Center"
"NCT00575055",81," Illinois"," Elk Grove Village","Alexian Brothers Neurosciences Institute"
"NCT00575055",82," Illinois"," Springfield"," School of Medicine,Southern Illinois University"
"NCT00575055",83," Indiana"," Elkhart"," LLC,Elkhart Clinic"
"NCT00575055",84," Indiana"," Indianapolis","Indiana University School of Medicine"
"NCT00575055",85," Kansas"," Kansas City","University of Kansas Medical Center"
"NCT00575055",86," Kansas"," Lenexa","Mid America Neuroscience Institute"
"NCT00575055",87," Kentucky"," Lexington"," PSC,Associates in Neurology"
"NCT00575055",88," Kentucky"," Lexington","University of Kentucky"
"NCT00575055",89," Kentucky"," Paducah"," Inc,Four Rivers Clinical Research"
"NCT00575055",90," Louisiana"," Lake Charles","Lake Charles Clinical Trials"
"NCT00575055",91," Louisiana"," Shreveport","Louisiana State University Health Sciences Center"
"NCT00575055",92," Louisiana"," Shreveport"," APMC, MD,J. Gary Booker"
"NCT00575055",93," Maine"," Scarborough","Maine Medical Partners Neurology"
"NCT00575055",94," Maryland"," Baltimore","University of Maryland"
"NCT00575055",95," Maryland"," Baltimore","Johns Hopkins University School of Medicine"
"NCT00575055",96," Massachusetts"," Belmont","McLean Hospital"
"NCT00575055",97," Massachusetts"," Boston","Brigham and Women's Hospital"
"NCT00575055",98," Massachusetts"," Boston","Boston University School of Medicine"
"NCT00575055",99," Massachusetts"," Haverhill"," Inc,ActivMed Practices and Research"
"NCT00575055",100," Massachusetts"," Newton"," Inc,Neurocare"
"NCT00575055",101," Massachusetts"," Pittsfield","Neuroscience Research of the Berkshires"
"NCT00575055",102," Massachusetts"," Plymouth"," P.C., MD,Donald S. Marks"
"NCT00575055",103," Massachusetts"," Springfield","Springfield Neurology Associates"
"NCT00575055",104," Michigan"," Ann Arbor","University of Michigan"
"NCT00575055",105," Michigan"," Detroit","Henry Ford Hospital"
"NCT00575055",106," Michigan"," East Lansing","Michigan State University"
"NCT00575055",107," Michigan"," Grand Rapids","Saint Mary's Health Care"
"NCT00575055",108," Michigan"," Kalamazoo","Borgess Medical Center/Borgess Research Institute"
"NCT00575055",109," Minnesota"," Rochester","Mayo Clinic"
"NCT00575055",110," Mississippi"," Hattiesburg","Hattiesburg Clinic"
"NCT00575055",111," Missouri"," Kansas City"," Mid America Brain and Stroke Institute,Saint Luke's Hospital"
"NCT00575055",112," Missouri"," Kansas City","The Center for Pharmaceutical Research"
"NCT00575055",113," Missouri"," St. Louis","St. Louis University School of Medicine"
"NCT00575055",114," Missouri"," St. Louis","Washington University School of Medicine"
"NCT00575055",115," Montana"," Billings","Deaconess Billings Clinical Research Center"
"NCT00575055",116," Montana"," Great Falls","Advanced Neurology Specialists"
"NCT00575055",117," Nebraska"," Omaha","University of Nebraska Medical Center"
"NCT00575055",118," Nevada"," Las Vegas","Cleveland Clinic Lou Ruvo Center for Brain Health"
"NCT00575055",119," New Jersey"," Eatontown"," Inc.,Memory Enhancement Center of America"
"NCT00575055",120," New Jersey"," Manchester","Alzheimer's Research Corporation (ARC)"
"NCT00575055",121," New Jersey"," Mount Arlington","The NeuroCognitive Institute"
"NCT00575055",122," New Jersey"," Princeton","Princeton Medical Institute"
"NCT00575055",123," New Jersey"," Stratford","University of Medicine and Dentistry of New Jersey"
"NCT00575055",124," New Mexico"," Albuquerque"," Inc.,Albuquerque Neuroscience"
"NCT00575055",125," New York"," Albany"," LLC,Upstate Clinical Research"
