"Rank","NCT Number","Title","Acronym","Recruitment","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","Last Verified","First Submitted","First Posted","Results First Submitted","Results First Posted","Last Update Submitted","Last Update Posted","Locations","URL"
682,"NCT00380302","Activity of AVE1625 in Mild to Moderate Alzheimer's Patients.","null","Completed","No Results Available","Alzheimer Disease","Drug: AVE1625","Safety and tolerability throughout the study:adverse events collected by spontaneous report|physical examination and neurological assessment|vital sign monitoring, clinical laboratories, and ECGs.|Efficacy variables:measures of change in cognition, global functioning and behavior at week 12.|Pharmacokinetic parameters will be assessed throughout the 12-week treatment period.","Sanofi","All","50 Years and older   (Adult, Senior)","Phase 1|Phase 2","162","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","ACT10019|EUDRACT: 2006-002317-12","September 2006","July 2007","July 2007","December 2008","September 22, 2006","September 25, 2006","null","null","December 18, 2008","December 19, 2008","Sanofi-Aventis Administrative Office, Bridgewater, New Jersey, United States|Sanofi-Aventis Administrative Office, Paris, France|Sanofi-Aventis Administrative Office, Milano, Italy|Sanofi-Aventis Administrative Office, Gouda, Netherlands|Sanofi-Aventis Administrative Office, Bromma, Sweden","https://ClinicalTrials.gov/show/NCT00380302"
683,"NCT01099332","Trial of Novel Oral Zinc Cysteine Preparation in Alzheimer's Disease","null","Unknown status","No Results Available","Alzheimer's Disease|Mild Cognitive Impairment","Other: Gastro-retentive zinc cysteine tablet|Other: Tablet identical physically to active comparator containing some lactose","Biometal levels will be measured in serum by atomic absorption spectrometry|Serum zinc levels after oral administration of two different zinc-containing compounds and placebo will be determined by atomic absorption spectrometry|Comparison of mental status functions at baseline, 3 and 6 months in active comparator versus placebo groups.","Adeona Pharmaceuticals","All","55 Years to 90 Years   (Adult, Senior)","Phase 1|Phase 2","60","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment","CopperProof-2","November 2009","January 2011","January 2011","January 2011","March 30, 2010","April 7, 2010","null","null","January 27, 2011","January 28, 2011","Neuroscience Research Unit, Clearwater, Florida, United States|ATIT Neurology, Holiday, Florida, United States|The Cottages, Port Richey, Florida, United States","https://ClinicalTrials.gov/show/NCT01099332"
684,"NCT01329601","Effect of Cognitive Intervention in Alzheimer's Disease (AD) on Functional Cortical Networks in fMRI","ECIF","Unknown status","No Results Available","Dementia of the Alzheimer Type","Behavioral: StaCog, stage specific cognitive Intervention|Behavioral: booklet based training","California Verbal Learning Test|functional cortical activity in fMRI","University of Rostock|DZNE, German Center for Neurodegenerative Disorders, Germany","All","55 Years and older   (Adult, Senior)","Phase 4","24","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","Int_HRO_1","January 2011","October 2011","December 2011","January 2011","April 1, 2011","April 6, 2011","null","null","April 5, 2011","April 6, 2011","Department of Psychiatry, University of Rostock, Rostock, Mecklenburg-Western Pomerania, Germany","https://ClinicalTrials.gov/show/NCT01329601"
685,"NCT02085265","Telmisartan vs. Perindopril in Hypertensive Mild-Moderate Alzheimer's Disease Patients","SARTAN-AD","Recruiting","No Results Available","Alzheimer's Disease|Hypertension","Drug: Perindopril|Drug: Telmisartan","Ventricular enlargement|Safety - Blood pressure|Safety - Vital signs|Safety - Electrolytes|Safety - Adverse Events|Hippocampal volume|Grey/White matter volume|Cognitive and functional measures","Dr. Sandra E Black|Alzheimer’s Drug Discovery Foundation|Sunnybrook Health Sciences Centre","All","55 Years and older   (Adult, Senior)","Phase 2","240","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","SARTAN-AD-001","March 2014","June 2017","August 2018","December 2015","November 29, 2013","March 12, 2014","null","null","December 21, 2015","December 22, 2015","Parkwood Institute, London, Ontario, Canada|Sunnybrook Health Sciences Centre, Toronto, Ontario, Canada|St. Michael's Hospital, Toronto, Ontario, Canada","https://ClinicalTrials.gov/show/NCT02085265"
686,"NCT00253214","Placebo-Controlled Evaluation of Galantamine in the Treatment of Alzheimer's Disease: Safety and Efficacy of a Controlled-Release Formulation","null","Completed","No Results Available","Alzheimer Disease|Dementia","Drug: galantamine hydrobromide","Change from baseline to end of treatment for controlled release group in ADAS-cog/11 (Alzheimer's Disease Assessment Scale: sum of 11 cognitive items) and CIBIC-plus (Clinician's Interview Based Impression of Change - Plus Caregiver Input) scores|Change from baseline in ADAS-cog/13, /10, /mem scores, NPI, and ADCS/ADL; safety and tolerability of controlled-release formulation; difference in effects between the controlled-release and immediate-release formulations","Johnson & Johnson Pharmaceutical Research & Development, L.L.C.","All","40 Years and older   (Adult, Senior)","Phase 3","973","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double|Primary Purpose: Treatment","CR006037","March 2001","null","July 2002","November 2010","November 10, 2005","November 15, 2005","null","null","May 19, 2011","May 23, 2011","","https://ClinicalTrials.gov/show/NCT00253214"
687,"NCT01329536","The Occurrence of the ApoE4 Allele in Agitated In-Patients With Late-Onset Alzheimer's Disease","null","Completed","No Results Available","Alzheimer's Disease|Agitation","","Apolipoprotein E4 Allele","Avera McKennan Hospital & University Health Center","All","65 Years and older   (Adult, Senior)","","50","Other","Observational","Observational Model: Case Control|Time Perspective: Prospective","AIHBG-1380-Agitation","December 2010","October 2011","October 2011","February 2011","January 11, 2011","April 6, 2011","null","null","October 4, 2011","October 6, 2011","Avera Research Institute, Sioux Falls, South Dakota, United States","https://ClinicalTrials.gov/show/NCT01329536"
688,"NCT01928420","A Single Site, Randomized, Double-blind, Placebo Controlled Trial of NIC5-15 in Subjects With Alzheimer's Disease","null","Completed","No Results Available","Alzheimer's Disease|Dementia","Drug: Drug: NIC5-15|Drug: Placebo","Change in Alzheimer's Disease Assessment Scale - Cognitive Subscale (ADAS-Cog)Score|Change in Alzheimer's Disease Cooperative Study Clinician's Global Impression of Change (ADCS-CCGIC) Score|Change in Mini-Mental State Examination (MMSE) Score|Change in Alzheimer's Disease Cooperative Study Activities of Daily Living Inventory (ADCS-ADL) Score|Change in Neuropsychiatric Inventory (NPI) Score|Changes in AD Biomarkers|APO-E genotyping","Humanetics Corporation|National Center for Complementary and Integrative Health (NCCIH)|James J. Peters Veterans Affairs Medical Center","All","40 Years to 95 Years   (Adult, Senior)","Phase 2","30","Industry|NIH|U.S. Fed","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","R21AT003302-01A1|MHBB-009-06S","April 2007","June 2014","June 2014","October 2016","August 17, 2012","August 26, 2013","null","null","October 14, 2016","October 17, 2016","James J Peters Veterans Affairs Medical Center, Bronx, New York, United States","https://ClinicalTrials.gov/show/NCT01928420"
689,"NCT01315639","New Biomarker for Alzheimer's Disease Diagnostic","BALTAZAR","Active, not recruiting","No Results Available","Alzheimer's Disease|Mild Cognitive Impairment","Biological: biomarkers, MRI and CSF","Mean concentration of plasma AB peptides|plasma levels of Tau protein|Mean concentration of biomarker|MRI|Transcriptomics biomarkers|Bace peptide|TACE/ADAM17|Cathepsin|sAPPβ|Ratio of CSF sAPPβ and CSF sAPPα|Ratio of plasma Aβ and plasma Tau|Plasma Tau|MRI biomarkers","Assistance Publique - Hôpitaux de Paris","All","45 Years and older   (Adult, Senior)","","1067","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","P081205","August 2010","September 2018","February 2019","August 2016","March 11, 2011","March 15, 2011","null","null","August 25, 2016","August 26, 2016","APHP, Hôpital Broca, Paris, France","https://ClinicalTrials.gov/show/NCT01315639"
690,"NCT02002819","Levetiracetam for Alzheimer's Disease-Associated Network Hyperexcitability","LEV-AD","Recruiting","No Results Available","Alzheimer's Disease","Drug: levetiracetam","Changes in Executive Function as Measured by the E.X.A.M.I.N.E.R. Computer Battery|Changes in Epileptiform Activity Frequency|Changes in Cognitive Function|Changes in Behavior and Level of Disability","University of California, San Francisco","All","45 Years to 80 Years   (Adult, Senior)","Phase 2","36","Other","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment","LEV-AD|PCTRB-13-288476","June 2014","June 2017","December 2017","July 2016","October 25, 2013","December 6, 2013","null","null","July 1, 2016","July 6, 2016","UCSF, San Francisco, California, United States","https://ClinicalTrials.gov/show/NCT02002819"
691,"NCT01078636","Alzheimer's Disease Neuroimaging Initiative Grand Opportunity","ADNI-GO","Completed","No Results Available","Mild Cognitive Impairment|Alzheimer's Disease","","Rate of Decline as measured by: Cognitive tests, Activities of Daily Living, and CDR Sum of Boxes|Rate of conversion will be evaluated among all four groups|Rate of volume change of whole brain, hippocampus, and other structural MRI measures|Rates of change on each specified biochemical biomarker|Rates of change of glucose metabolism (FDG-PET)|Extent of amyloid deposition as measured by 18F-AV-45|Group differences for each imaging and biomarker measurement|Correlations among biomarkers and biomarker change|Subgroups analyses: APOE genotype, low CSF Aβ42, positive amyloid imaging with 18F-AV-45","Alzheimer's Disease Cooperative Study (ADCS)|Northern California Institute of Research and Education|National Institute on Aging (NIA)","All","55 Years to 90 Years   (Adult, Senior)","","342","Other|NIH","Observational","Observational Model: Case Control|Time Perspective: Prospective","IA0175|1RC2AG036535-01","April 2010","October 2012","October 2012","September 2014","March 1, 2010","March 2, 2010","null","null","September 15, 2014","September 16, 2014","University of Alabama at Birmingham, Birmingham, Alabama, United States|Banner Alzheimer's Institute, Phoenix, Arizona, United States|Banner Sun Health Research Institute, Sun City, Arizona, United States|University of California, Irvine, Irvine, California, United States|University of California, Irvine - BIC, Irvine, California, United States|University of Southern California, Los Angeles, California, United States|University of California, Los Angeles, Los Angeles, California, United States|University of California, Davis, Martinez, California, United States|Stanford University, Palo Alto, California, United States|University of California, San Diego, San Diego, California, United States|University of California, San Francisco, San Francisco, California, United States|Yale University School of Medicine, New Haven, Connecticut, United States|Georgetown University, Washington, District of Columbia, United States|Howard University, Washington, District of Columbia, United States|Mayo Clinic, Jacksonville, Jacksonville, Florida, United States|Wien Center, Miami Beach, Florida, United States|Premiere Research Institute, West Palm Beach, Florida, United States|Emory University, Atlanta, Georgia, United States|Northwestern University, Chicago, Illinois, United States|Rush University Medical Center, Chicago, Illinois, United States|Indiana University, Indianapolis, Indiana, United States|University of Kansas, Kansas City, Kansas, United States|University of Kentucky, Lexington, Kentucky, United States|Johns Hopkins University, Baltimore, Maryland, United States|Brigham and Women's Hospital, Boston, Massachusetts, United States|Boston University School of Medicine, Boston, Massachusetts, United States|University of Michigan, Ann Arbor, Michigan, United States|Mayo Clinic, Rochester, Rochester, Minnesota, United States|Washington University, St. Louis, St. Louis, Missouri, United States|Cleveland Clinic Lou Ruvo Center for Brain Health (CCLRBC), Las Vegas, Nevada, United States|Dartmouth-Hitchcock Medical Center, Lebanon, New Hampshire, United States|Albany Medical College, Albany, New York, United States|Dent Neurological Group, Amherst, New York, United States|New York University, New York, New York, United States|Mount Sinai School of Medicine, New York, New York, United States|Columbia University, New York, New York, United States|University of Rochester Medical Center, Rochester, New York, United States|Duke University Medical Center, Durham, North Carolina, United States|Wake Forest University, Winston-Salem, North Carolina, United States|Case Western Reserve University, Cleveland, Ohio, United States|Ohio State University, Columbus, Ohio, United States|Oregon Health and Science University, Portland, Oregon, United States|University of Pennsylvania, Philadelphia, Pennsylvania, United States|University of Pittsburgh, Pittsburgh, Pennsylvania, United States|Rhode Island Hospital, Providence, Rhode Island, United States|Butler Hospital Memory & Aging Program, Providence, Rhode Island, United States|Medical University of South Carolina, Charleston, South Carolina, United States|University of Texas SWMC, Dallas, Texas, United States|Baylor College of Medicine, Houston, Texas, United States|University of Wisconsin, Madison, Wisconsin, United States|University of British Columbia, Vancouver, British Columbia, Canada|Saint Joseph's Hospital, Hamilton, Ontario, Canada|Parkwood Hospital, London, Ontario, Canada|Sunnybrook Health Sciences Centre, Toronto, Ontario, Canada|Jewish General Hospital / McGill University, Montreal, Quebec, Canada","https://ClinicalTrials.gov/show/NCT01078636"
692,"NCT01880151","Neuroelectrical Biomarkers for Alzheimer's Disease Stages","ESTIMATE","Recruiting","No Results Available","Alzheimer Disease","Device: EEG","Frequency band charactersitics of the electrophysiological brain response","Institut National de la Santé Et de la Recherche Médicale, France","All","70 Years to 85 Years   (Senior)","","90","Other","Interventional","Allocation: Randomized|Intervention Model: Single Group Assignment|Masking: Single (Participant)|Primary Purpose: Diagnostic","C12-71|2013-A00344-41","June 2013","March 2017","July 2017","August 2016","June 14, 2013","June 18, 2013","null","null","August 30, 2016","August 31, 2016","Institute of Memory and Alzheimer's Disease, Pitie-Salpetriere Hospital, Paris, France","https://ClinicalTrials.gov/show/NCT01880151"
693,"NCT01055392","Disease-modifying Properties of Lithium in the Neurobiology of Alzheimer's Disease","null","Unknown status","No Results Available","Cognitive Impairment|Alzheimer Disease","Drug: Lithium Carbonate|Drug: Placebo","effect of lithium to delay progression of cognitive deficits in patients with amnestic MCI|effect of lithium on CSF levels of Total Tau, Phosphorylated Tau and Amyloid-beta42|the effect of lithium on the activity of GSK3β in platelets and leukocytes drawn from peripheral blood.","University of Sao Paulo","All","60 Years to 80 Years   (Adult, Senior)","Phase 2","80","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Prevention","OVForlenza-Lithium|554535/2005-0","March 2007","March 2009","null","December 2009","January 22, 2010","January 25, 2010","null","null","January 22, 2010","October 12, 2017","Institute of Psychiatry, Faculty of Medicine - University of Sao Paulo, Sao Paulo, SP, Brazil","https://ClinicalTrials.gov/show/NCT01055392"
694,"NCT00829816","Safety and Tolerability of Dimebon in Patients on Memantine, and Memantine Plus Donepezil","null","Completed","No Results Available","Alzheimer's Disease","Drug: Dimebon|Drug: Placebo","To assess the safety and tolerability of orally administered dimebon in patients with Alzheimer's disease (AD) on a stable dose and regimen of memantine, or memantine plus donepezil.|To assess the steady-state pharmacokinetics (PK) of orally-administered dimebon in patients with AD on a stable dose and regimen of memantine, or memantine plus donepezil.","Medivation, Inc.","All","50 Years and older   (Adult, Senior)","Phase 1","46","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","DIM17","December 2008","April 2009","August 2010","November 2015","January 12, 2009","January 27, 2009","null","null","November 6, 2015","November 10, 2015","Los Alamitos, California, United States|National City, California, United States|Delray Beach, Florida, United States|Orlando, Florida, United States","https://ClinicalTrials.gov/show/NCT00829816"
695,"NCT00253227","A Study of the Safety and Effectiveness of a Flexible Dose of Galantamine Versus Placebo in the Treatment of Patients With Alzheimer's Disease","null","Completed","No Results Available","Alzheimer Disease|Dementia","Drug: galantamine hydrobromide","Change from baseline to the end of treatment in ADAS-cog/11 (Alzheimer's Disease Assessment Scale: sum of 11 cognitive items) and CIBIC-plus (Clinician's Interview Based Impression of Change - Plus Caregiver Input) scores|Change from baseline in ADAS-cog/13, DAD and NPI scores to the end of treatment; Incidence of adverse events; Pittsburgh Sleep Scale score; Changes in laboratory tests, ECGs and physical examinations","Johnson & Johnson Pharmaceutical Research & Development, L.L.C.","All","18 Years and older   (Adult, Senior)","Phase 3","387","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double|Primary Purpose: Treatment","CR006028","July 1997","null","December 1998","November 2010","November 10, 2005","November 15, 2005","null","null","May 17, 2011","May 18, 2011","","https://ClinicalTrials.gov/show/NCT00253227"
696,"NCT01403519","Innovative Biomarkers in Alzheimer's Disease and Frontotemporal Dementia (FTD): Preventative and Personalized","null","Unknown status","No Results Available","Alzheimer's Disease","","","Rambam Health Care Campus","All","45 Years to 80 Years   (Adult, Senior)","","70","Other","Observational","Observational Model: Case Control|Time Perspective: Prospective","437-10CTIL","July 2011","January 2014","January 2014","July 2011","July 6, 2011","July 27, 2011","null","null","July 26, 2011","July 27, 2011","Rambam Hospital, Haifa, Israel","https://ClinicalTrials.gov/show/NCT01403519"
697,"NCT00216593","Treatment of Severe Alzheimer's Disease: Evaluation of Efficacy and Safety of Galantamine Hydrobromide in a Controlled Study","null","Completed","No Results Available","Dementia|Alzheimer Disease","Drug: galantamine hydrobromide","Change in scores from baseline to week 26 on measuring cognition Severe Impairment Battery test and the Minimum Data Set Activities of Daily Living test.|Results from Neuro Psychiatric Inventory-nursing home version test. Safety assessments include reports of adverse events, physical exam, vital signs, electrocardiograms, and laboratory test results.","Janssen Pharmaceutica N.V., Belgium","All","40 Years and older   (Adult, Senior)","Phase 3","415","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double|Primary Purpose: Treatment","CR003940","December 2003","September 2007","March 2008","April 2010","September 13, 2005","September 22, 2005","null","null","June 7, 2011","June 21, 2011","","https://ClinicalTrials.gov/show/NCT00216593"
698,"NCT01819545","The Study of microRNA 107 (miRNA 107) and Beta-amyloid Precursor Protein-cleaving Enzyme 1 (BACE1) Messenger Ribonucleic Acid (mRNA) Gene Expression in Cerebrospinal Fluid and Peripheral Blood of Alzheimer's Disease","null","Unknown status","No Results Available","Alzheimer's Disease","","plasma and CSF press of miRNA 107 and BACE1 mRNA","Shanghai Mental Health Center|Shanghai Municipal Science and Technology Commission|National Natural Science Foundation of China","All","60 Years to 90 Years   (Adult, Senior)","","300","Other","Observational","Observational Model: Case Control|Time Perspective: Cross-Sectional","10ZR1425800","January 2012","July 2014","December 2015","February 2014","March 24, 2013","March 27, 2013","null","null","February 16, 2014","February 19, 2014","Department of Psychogeriatrics，Shanghai Mental Health Center, Shanghai, Shanghai, China","https://ClinicalTrials.gov/show/NCT01819545"
699,"NCT01515982","Physical Exercise as an Additional Treatment for Alzheimer Disease","null","Completed","No Results Available","Alzheimer Disease","Behavioral: Aerobic Exercise|Behavioral: Control Group","Change from baseline in CAMCOG scale at 16 weeks|Change from baseline in Time to Up and Go Test at 16 weeks|Change from baseline in Sit-to-Stand test at 16 weeks|Change from baseline in Berg Balance Scale at 16 weeks|Change from baseline in Trail Making Test at 16 weeks","Universidade Federal do Rio de Janeiro|Rio de Janeiro State Research Supporting Foundation (FAPERJ)|Conselho Nacional de Desenvolvimento Científico e Tecnológico","All","60 Years and older   (Adult, Senior)","","20","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Investigator)|Primary Purpose: Treatment","60liv02-09B","February 2010","June 2013","December 2013","December 2014","January 12, 2012","January 24, 2012","null","null","December 1, 2014","December 3, 2014","Universidade Federal do Rio de Janeiro, Rio de Janeiro, Brazil","https://ClinicalTrials.gov/show/NCT01515982"
700,"NCT02343757","Alzheimer's Disease Imaging With PET/MRI - Beta-amyloid","null","Unknown status","No Results Available","Dementia|Alzheimer Disease","Device: PET/MRI","To assess image quality and diagnostic performance of 18F-florbetapir (AMYVID) PET/MRI, including direct comparison to corresponding PET/CT images of the same patients.|To evaluate the incremental value of using 18F-florbetapir (AMYVID) in addition to 2-[F-18]-fluoro-2 deoxy-D-glucose (FDG) versus FDG alone.|To determine plaque burden quantitatively with 18F-florbetapir (AMYVID) in PET (form PET/CT and from PET/MR) using novel software developed specifically for these brain application;","University Hospitals Cleveland Medical Center","All","21 Years and older   (Adult, Senior)","","30","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","12-12-13","October 2013","December 2016","December 2016","January 2015","May 8, 2014","January 22, 2015","null","null","January 21, 2015","January 22, 2015","University Hospital Case Medical Center, Cleveland, Ohio, United States","https://ClinicalTrials.gov/show/NCT02343757"
701,"NCT03061474","Nicotinamide as an Early Alzheimer's Disease Treatment","NEAT","Recruiting","No Results Available","Alzheimer's Disease|Mild Cognitive Impairment","Drug: Nicotinamide|Drug: Placebo Comparator","Change in p-tau 231|Change in p-tau 181|Change in total tau","University of California, Irvine","All","50 Years and older   (Adult, Senior)","Phase 2","48","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment","20163246","July 12, 2017","February 28, 2019","February 28, 2019","October 2017","February 13, 2017","February 23, 2017","null","null","October 24, 2017","October 26, 2017","University of California, Irvine, Irvine, California, United States|University of California, Los Angeles, Los Angeles, California, United States","https://ClinicalTrials.gov/show/NCT03061474"
702,"NCT01561053","A Study to Evaluate Albumin and Immunoglobulin in Alzheimer's Disease","AMBAR","Active, not recruiting","No Results Available","Alzheimer's Disease","Biological: Albumin|Biological: Immune globulin","Cognitive scores (as a change from baseline measurement), measured by ADAS-Cog (Cognitive subscale of the Alzheimer's Disease Assessment Scale) and ADCS-ADL (Alzheimer's Disease Cooperative Study-Activities of Daily Living).|Cognitive, functional and neuropsychiatric scores and overall development as measured by MMSE, NPS battery, ADCS-ADL, NPICDR-Sb, ADCS-CGIC, CSDD, C-SSRS and QoL-AD, RUD-lite.|Levels of AB1-40 and AB1-42, T-tau and P-tau in CSF|Levels of AB1-40 and AB1-42 in plasma|Evaluate the structural changes in volume of the hippocampus, posterior cingulate area, and other associated areas based on neuroimaging study with magnetic resonance imaging (MRI) variation versus baseline.|Variation in FDG-PET patterns (flurodeoxyglucose-PET)","Instituto Grifols, S.A.|Grifols Biologicals Inc.","All","55 Years to 85 Years   (Adult, Senior)","Phase 2|Phase 3","350","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Outcomes Assessor)|Primary Purpose: Treatment","IG1002","March 2012","December 2017","December 2017","August 2017","March 16, 2012","March 22, 2012","null","null","August 1, 2017","August 2, 2017","Northern California Research, Sacramento, California, United States|Mountain View Clinical Research, Inc, Denver, Colorado, United States|Howard University, Washington, D.C., District of Columbia, United States|Bradenton Research Center, Inc., Bradenton, Florida, United States|Quantum Laboratories, Deerfield Beach, Florida, United States|Galiz Research, LLC, Hialeah, Florida, United States|L&L Research Choices, Inc, Miami, Florida, United States|Allied Biomedical Research Institute, Miami, Florida, United States|Miami Dade Medical Research Institute, LLC, Miami, Florida, United States|PharmaSeek LLC (DMI Research), Pinellas Park, Florida, United States|iResearch Atlanta, LLC, Decatur, Georgia, United States|RTR Medical Group, Savannah, Georgia, United States|Mid-Atlantic Geriatric/ARC, Manchester Township, New Jersey, United States|The NeuroCognitive Institute, Mount Arlington, New Jersey, United States|The Cleveland Clinic Foundation, Cleveland, Ohio, United States|University of Pittsburgh Medical Center, Pittsburgh, Pennsylvania, United States|Roper St. Francis Healthcare, Charleston, South Carolina, United States|Wesley Neurology Clinic, Cordova, Tennessee, United States|Hospital General de Elche, Elche, Alicante, Spain|Hospital de Vinalopó, Elche, Alicante, Spain|Hospital de Torrevieja, Torrevieja, Alicante, Spain|Hospital Universitari de Bellvitge, Hospitalet de Llobregat, Barcelona, Spain|Hospital General de Catalunya, San Cugat del Valles, Barcelona, Spain|Hospital Universitari Mutua de Terrassa, Terrassa, Barcelona, Spain|Hospital Ntra. Sra. de la Candelaria, Santa Cruz de Tenerife, Canary Islands, Spain|Hospital Universitario de Getafe, Getafe, Madrid, Spain|Funcació ACE, Barcelona, Spain|Hospital Vall d'Hebron, Barcelona, Spain|Hospital de la Santa Creu i Sant Pau, Barcelona, Spain|Hospital Universitario De Burgos, Burgos, Spain|Parc Hospitalari Marti i Julia, Girona, Spain|Hospital de Santa María, Lleida, Spain|Hospital General Universitario Gregorio Marañón, Madrid, Spain|Hospital Clínico San Carlos, Madrid, Spain|Hospital Universitario Dr. Peset, Valencia, Spain|Hospital Universitario y Politecnico La Fe, Valencia, Spain|Hospital Montecanal, Zaragoza, Spain","https://ClinicalTrials.gov/show/NCT01561053"
703,"NCT01436045","Safety and Effectiveness Study of Intranasal Insulin Glulisine on Cognitive and Memory in Mild-Mod AD Patients.","null","Completed","Has Results","Alzheimer's Disease","Drug: Insulin glulisine|Drug: Saline","Cognitive Performance|Trails B - Seconds|Trails B - Errors|Olfactory Function","HealthPartners Institute","All","65 Years to 85 Years   (Adult, Senior)","Phase 2","12","Other","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","11-111","September 2011","June 2013","June 2013","September 2015","September 16, 2011","September 19, 2011","April 9, 2015","October 19, 2015","September 25, 2015","October 19, 2015","HealthPartners Specialty Center - Center for Dementia & Alzheimer's Care, St. Paul, Minnesota, United States","https://ClinicalTrials.gov/show/NCT01436045"
704,"NCT00096473","Efficacy and Safety of Aricept in the Treatment of Severe Alzheimer's Disease","null","Completed","No Results Available","Alzheimer's Disease|Dementia","Drug: Donepezil hydrochloride","Assessments of global and cognitive function of Severe AD patients|Assessment of behavior and performance on Activity of Daily Living in severe AD patients|Assessment of caregiver burden","Eisai Inc.|Pfizer","All","50 Years and older   (Adult, Senior)","Phase 3","229","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double|Primary Purpose: Treatment","E2020-A001-315","January 2001","June 2005","September 2005","March 2011","November 9, 2004","November 10, 2004","null","null","March 31, 2011","April 1, 2011","Northport, Alabama, United States|Phoenix, Arizona, United States|Sun City, Arizona, United States|Tucson, Arizona, United States|San Francisco, California, United States|Santa Monica, California, United States|Torrance, California, United States|Denver, Colorado, United States|Ft. Lauderdale, Florida, United States|Ft. Myers, Florida, United States|North Miami, Florida, United States|St. Petersburg, Florida, United States|Atlanta, Georgia, United States|Chicago, Illinois, United States|New Orleans, Louisiana, United States|Springfield, Massachusetts, United States|Long Branch, New Jersey, United States|Piscataway, New Jersey, United States|New Hyde Park, New York, United States|Greenville, North Carolina, United States|Raleigh, North Carolina, United States|Centerville, Ohio, United States|Oklahoma City, Oklahoma, United States|Medford, Oregon, United States|Portland, Oregon, United States|Jenkintown, Pennsylvania, United States|Austin, Texas, United States|Houston, Texas, United States|Randwick, New South Wales, Australia|Brisbane, Queensland, Australia|Woodville South, South Australia, Australia|Heidelberg West, Victoria, Australia|Nedlands, Western Australia, Australia|Toronto, Ontario, Canada|Hôpital Broca-La Rochefoucauld, Paris, France|Belfast, Ireland|St. Leonards on Sea, East Sussex, United Kingdom|West End, Southampton, United Kingdom|Swindon, Wilshire, United Kingdom|Bath, United Kingdom|Blackpool, United Kingdom|Bradford, United Kingdom","https://ClinicalTrials.gov/show/NCT00096473"
